country,year,inv,gdppc,remit,aid,lendint,open,gs
Cameroon,2003 ,17.8540098,625.7819278,0.554351396,6.504128509,18,47.36706627,14.85900397
Cameroon,2004 ,19.7335488,634.5093706,0.655384903,5.011994424,18,47.20247275,17.16992759
Cape Verde,1980 ,38.74546481,559.9206642,28.16568014,43.47371411,6.5,84.05058205,38.19473143
Cape Verde,1981 ,48.17032175,601.8469925,22.65527827,34.91120543,6.5,92.16438745,37.54329266
Cape Verde,1982 ,51.50440403,607.8207683,18.38290077,36.54250358,6.5,102.1159213,41.46163905
Cape Verde,1983 ,48.75399676,650.5360837,14.83864169,40.57735844,6.5,102.436767,43.81331156
Cape Verde,1984 ,44.32054979,660.1820209,15.61732631,45.90246112,6.5,100.473455,31.41229222
Cape Verde,1985 ,47.20556502,704.3070693,15.07100439,46.69343019,10,101.8212851,28.85300149
Cape Verde,1986 ,42.14900965,715.1818663,14.45575738,54.59183873,10,93.05252412,23.75671078
Cape Verde,1987 ,41.37361887,738.9140155,15.48374186,35.90174759,10,83.83261885,22.76065771
Cape Verde,1988 ,39.52220889,776.543433,16.17128121,31.17194944,10,76.20162471,23.81816242
Cape Verde,1989 ,38.01281917,811.7141341,17.83537836,31.02653251,10,81.43779252,23.40589415
Cape Verde,1990 ,40.84229618,804.3764952,19.27080433,34.3053277,10,85.95158405,20.88693467
Cape Verde,1991 ,38.79541566,798.493307,19.50007943,31.89223587,10,80.95396924,16.46925734
Cape Verde,1992 ,37.13585167,802.3364283,21.28255737,32.61274456,10,83.93988983,25.48153513
Cape Verde,1993 ,29.4970088,837.8068344,15.59719619,23.44125688,10,60.30643206,17.04906172
Cape Verde,1994 ,43.92491032,871.9461404,21.01763624,29.43327463,10.66666667,71.56344204,33.39398563
Cape Verde,1995 ,39.04588806,913.9044579,21.73069468,23.75659222,12,77.51555133,28.43450516
Cape Verde,1996 ,37.84134808,952.8352477,19.99081597,23.2001702,12,75.48996777,29.25082041
Cape Verde,1997 ,38.95162377,1003.94853,15.57586787,22.59030658,12.05583333,85.97934611,34.68817057
Cape Verde,1998 ,31.61152924,1066.937087,14.12915597,24.82992488,12.51416667,81.88141382,20.34649204
Cape Verde,1999 ,34.61255508,1171.027518,13.35253812,22.89266987,12.03133333,80.96901999,23.91403285
Cape Verde,2000 ,30.45143546,1233.257523,16.11676873,17.37857912,11.93816667,87.52060832,19.56060821
Cape Verde,2001 ,31.68818162,1285.841106,14.37719956,13.71166501,12.84916667,92.16372256,21.69421371
Cape Verde,2002 ,35.94175262,1330.908785,13.70098798,14.73811803,13.17333333,101.0897022,24.15452807
Cape Verde,2003 ,31.10245731,1371.15693,13.33448643,18.08679646,12.73166667,98.76838077,19.87988698
Cape Verde,2004 ,38.93656699,1409.156806,12.26382074,15.47085762,12.69,101.56717,25.28723829
Chad,1980 ,,145.9982252,,3.387213808,11,45.81058347,
Chad,1981 ,,144.2883206,,6.791817654,11,37.76177887,
Chad,1982 ,2.233539651,148.5244809,,7.688436873,11,20.05679761,4.728776138
Chad,1983 ,1.930578819,167.6679331,,10.50316433,11.5,39.96040585,10.16503977
Chad,1984 ,3.412298964,166.7216287,,12.12159147,11.5,42.07083878,8.362198476
Chad,1985 ,5.158556705,197.532568,0.003231923,17.33184104,11.5,43.23366539,1.745738898
Chad,1986 ,5.745287885,183.9995775,0.115198891,15.01271393,11,48.76989914,3.212934634
Chad,1987 ,6.449267853,174.1630398,0.116401349,17.344451,10.5,51.8817264,7.487802872
Chad,1988 ,4.970030204,194.8755301,0.023324858,17.58333164,10.79166667,45.1233829,9.233548324
Chad,1989 ,5.674892444,198.0363564,0.055317736,17.47732389,11.5,45.19009186,4.446432189
Chad,1990 ,4.772111233,183.9450842,,17.86374135,12,41.38702344,2.322177467
Chad,1991 ,4.622168894,193.63608,,13.97393278,18.14583333,36.34954131,3.028088407
Chad,1992 ,5.275640112,202.9064718,0.010840987,12.57806376,17.77083333,35.90456003,2.917921484
Chad,1993 ,6.894185714,165.9582487,0.021962747,15.272156,17.45833333,42.64733334,2.953919039
Chad,1994 ,11.75479956,177.3196912,0.061369213,17.99314876,17.5,50.98835136,11.68259151
Chad,1995 ,14.35719664,174.0673841,,16.25401247,16,55.69655657,
Chad,1996 ,14.96478811,172.4759408,,18.40177029,22,46.61003319,
Chad,1997 ,16.33063858,176.611958,,14.7511839,22,49.31310114,
Chad,1998 ,14.14549089,182.9633107,,9.993726869,22,48.0589829,
Chad,1999 ,16.97228097,175.8341013,,12.24038856,22,50.50786776,
Chad,2000 ,20.94154918,168.4508791,,9.47902398,22,51.57117201,
Chad,2001 ,36.57923975,181.5614382,,11.03110804,20.66666667,64.32190804,
Chad,2002 ,59.72306925,189.9911081,,11.54847194,18,126.3508078,
Chad,2003 ,48.60098273,210.2773835,,9.26492156,18,83.37891496,
Chad,2004 ,22.74035768,271.4754978,,7.648140867,18,101.7685909,
Comoros,1980 ,28.52763368,412.365057,1.310646119,35.01863759,,60.64229295,-0.361800136
Comoros,1981 ,24.90418406,413.3249064,1.069208728,40.57866336,,60.9706632,11.00080818
Comoros,1982 ,29.68456844,425.1892603,2.210855252,35.54968298,,69.52542971,9.509043892
Comoros,1983 ,26.74604578,431.7899909,1.647213856,33.74292504,15,73.51044699,12.0536759
Comoros,1984 ,33.51217868,436.2345258,1.990717062,39.70608129,15,64.55458911,24.33700372
Comoros,1985 ,28.31285585,433.5882348,3.693910935,41.16491236,15,67.05614608,26.08334161
Comoros,1986 ,20.92233811,429.8162191,2.932290734,28.2667413,15,57.93318112,15.83514145
Comoros,1987 ,18.20784201,425.6805905,3.462352793,27.52583044,13,57.74540857,17.68831943
Comoros,1988 ,17.49627856,426.3478491,3.558482764,24.68712628,13,59.75629609,18.13953905
Comoros,1989 ,14.42024352,402.8245936,3.968642101,22.17546068,,54.17133384,15.62402067
Comoros,1990 ,11.91056791,413.1981531,3.973616946,17.94979014,,51.39847813,14.38287746
Comoros,1991 ,11.80525636,381.5793119,4.090191011,25.6458653,,58.21915841,11.42610944
Comoros,1992 ,18.39393681,404.2729281,6.010673024,17.98332216,,59.89099889,15.10119504
Comoros,1993 ,15.65816272,406.4736946,6.081841569,18.44684311,,57.6816915,22.86016722
Comoros,1994 ,19.52010963,375.7381688,8.200281832,20.83312998,,67.32168944,17.31070057
Comoros,1995 ,15.52780722,379.7884299,5.266553011,17.93905806,,64.32981615,11.28645809
Comoros,1996 ,13.63533563,365.5850912,,16.79423543,,59.70463181,
Comoros,1997 ,13.37052754,370.7491163,,13.98870828,,61.16687849,
Comoros,1998 ,14.74035445,365.9346454,,18.61239912,,48.61127142,
Comoros,1999 ,11.92426689,363.3698534,,9.636964468,13.66666667,46.62489541,
Comoros,2000 ,10.09312593,358.9529087,,9.266969185,12,49.27326525,
